,STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
3,1771,"KALYANI INDUSTRIAL AREA, NADIA, WEST BENGAL",WEST BENGAL,27.0,28.0,27.5,7.5,8.3,7.9,572,672,622,0.7,1.3,1.0,0.1,0.4,0.2,0.0,0.0,0.0,1.0,1.0,1.0
4,1772,"BARASAT MUNICIPALITY NORTH 24-P, WEST BENGAL",WEST BENGAL,28.0,28.0,28.0,7.1,8.0,7.5,696,867,782,0.5,1.0,0.8,0.1,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0
9,1777,"BEHALA CALCUTTA, WEST BENGAL",WEST BENGAL,27.0,28.0,27.5,7.7,7.8,7.7,852,926,889,0.3,1.0,0.7,0.1,0.6,0.3,7.0,7.0,7.0,9.0,9.0,9.0
13,1931,COSSIPORE - NORTH KOLKATA,WEST BENGAL,26.0,26.0,26.0,7.3,7.6,7.5,2370,2444,2407,0.3,0.6,0.4,0.0,0.1,0.0,900.0,900.0,900.0,1600.0,1600.0,1600.0
14,1932,CENTRAL KOLKATA,WEST BENGAL,26.0,27.0,26.5,7.6,7.7,7.6,864,1119,992,0.3,1.3,0.8,0.1,0.2,0.1,7.0,7.0,7.0,14.0,14.0,14.0
15,1933,"NEAR GALVANISATION UNIT, HOWRAH",WEST BENGAL,28.0,30.0,29.0,7.3,8.0,7.6,260,1486,873,0.3,1.1,0.7,0.0,0.7,0.4,500.0,540.0,520.0,920.0,1600.0,1260.0
17,1935,INSIDE KOLKATA LEATHER COMPLEX,WEST BENGAL,28.5,29.0,28.8,7.1,7.4,7.2,1450,1472,1461,0.4,1.0,0.7,0.0,0.2,0.1,2.0,2.0,2.0,8.0,8.0,8.0
20,1938,BASIRHAT MUNICIPALITY,WEST BENGAL,31.0,32.0,31.5,8.2,8.5,8.3,1717,2240,1979,0.7,1.3,1.0,0.2,1.1,0.6,2.0,2.0,2.0,3.0,3.0,3.0
21,1939,BARRAKPORE MUNICIPALITY,WEST BENGAL,25.0,30.0,27.5,7.3,8.4,7.9,348,384,366,0.1,2.6,1.4,0.1,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0
22,1940,NEAR THE PHOSPHATE COMPANY-RISHRA,WEST BENGAL,27.5,29.0,28.3,7.4,7.8,7.6,554,565,560,1.0,1.1,1.0,0.1,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
23,1941,"NEAR FLY ASH DUMPING SITE-KUNTIGHAT, BANDEL",WEST BENGAL,28.0,29.0,28.5,7.5,7.8,7.6,385,410,398,0.3,1.1,0.7,0.2,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0
31,2526,FULBARI BARRAGE,WEST BENGAL,26.0,28.0,27.0,7.0,7.4,7.2,85,101,93,0.2,1.2,0.7,0.1,0.3,0.2,70.0,80.0,75.0,120.0,140.0,130.0
32,2528,GROUND WATER POINT INSIDE BURDWAN UNIVERSITY,WEST BENGAL,29.0,29.5,29.3,7.1,7.5,7.3,752,796,774,0.8,2.5,1.6,0.4,0.5,0.5,2.0,2.0,2.0,4.0,4.0,4.0
40,2540,SATI GHAT AT BANKURA TOWN,WEST BENGAL,28.0,30.0,29.0,7.5,7.5,7.5,1727,1854,1791,0.8,0.9,0.8,0.2,0.2,0.2,4.0,4.0,4.0,13.0,13.0,13.0
43,2545,GROUND WATER POINT AT PURULIA RK MISSION,WEST BENGAL,27.0,32.0,29.5,6.8,7.5,7.1,485,1568,1027,1.1,1.7,1.4,3.9,4.1,4.0,8.0,8.0,8.0,13.0,13.0,13.0
44,2546,ULUBERIA COLLEGE AT HOWRAH,WEST BENGAL,26.0,29.0,27.5,7.9,8.0,7.9,969,987,978,0.3,0.7,0.5,0.0,0.8,0.4,4.0,4.0,4.0,13.0,13.0,13.0
45,2547,"AMTOLA ON DIAMOND HARBOUR ROAD, 24 PARGANAS (S)",WEST BENGAL,26.0,27.0,26.5,7.1,8.0,7.5,1048,2140,1594,0.3,1.4,0.8,0.1,0.6,0.3,500.0,500.0,500.0,900.0,900.0,900.0
46,2548,"HIDCO OFFICE, RAJARHAT",WEST BENGAL,27.0,29.0,28.0,7.2,7.5,7.4,1832,2040,1936,0.5,0.7,0.6,0.1,0.2,0.2,2.0,2.0,2.0,11.0,11.0,11.0
