STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
1397,"WELL AT MUTHIALPET AREA(I), PONDICHERRY",PONDICHERRY,30,31,30.3,7,7.6,7.4,361,4800,3320,NA,NA,NA,0,0.8,0.4,NA,NA,NA,NA,NA,NA
1398,"WELL AT THENGAITHITTU AREA, (II) PONDICHERRY",PONDICHERRY,30,32,30.7,7.3,7.4,7.4,1240,1900,1460,NA,NA,NA,0,0.3,0.1,NA,NA,NA,NA,NA,NA
1453,"WELL AT MUTHARAPLATYAM (PWD), PONDICHERRY",PONDICHERRY,30,32,30.7,7,7.4,7.3,476,658,597,NA,NA,NA,4.7,4.8,4.7,NA,NA,NA,NA,NA,NA
1454,"WELL AT KALAPET, PONDI. UNIVER. ADMN. BLOCK, PONDICHERRY",PONDICHERRY,30,30,30,7.1,7.1,7.1,196,212,207,NA,NA,NA,1.2,1.2,1.2,NA,NA,NA,NA,NA,NA
1687,"NEHRU STATUE, PONDICHERRY",PONDICHERRY,30,30,30,7.1,7.3,7.2,1592,2200,1795,NA,NA,NA,0,2.6,0.9,NA,NA,NA,NA,NA,NA
1688,"KATTERIKUPPAM, PODICHERRY",PONDICHERRY,30,30,30,7.2,7.6,7.5,500,574,549,NA,NA,NA,0.4,0.5,0.5,NA,NA,NA,NA,NA,NA
1689,"CHUNMBAR RIVER, PONDICHERRY",PONDICHERRY,28,32,29.3,7.8,8.5,8.1,696,1474,1193,1,14,6.3,0,0.1,0,NA,NA,NA,NA,NA,NA
2009,KURUMBAPET,PONDICHERRY,30,32,30.7,7.2,7.6,7.5,530,560,550,NA,NA,NA,5,6.3,5.5,NA,NA,NA,NA,NA,NA
2010,METTUPALAYAM,PONDICHERRY,32,32,32,7.3,7.7,7.6,1200,1272,1248,NA,NA,NA,0.5,0.6,0.6,NA,NA,NA,NA,NA,NA
2011,URUVAIYAR,PONDICHERRY,32,32,32,7.4,7.5,7.5,3200,3210,3207,NA,NA,NA,0,0.1,0,NA,NA,NA,NA,NA,NA
2012,KARUVADIKUPPAM,PONDICHERRY,30,32,31.3,7.4,7.5,7.5,1592,1600,1597,NA,NA,NA,0,1.9,0.6,NA,NA,NA,NA,NA,NA
2013,"T.R.PATTINAM, KARAIKAL",PONDICHERRY,27,28.5,27.5,7.4,7.5,7.5,1700,1728,1719,1,1,1,0.8,1.2,1,NA,NA,NA,NA,NA,NA
2014,"VADAMATTAM, KARAIKAL",PONDICHERRY,28,28.5,28.2,7.1,7.5,7.4,1446,1548,1514,NA,NA,NA,0.1,1.2,0.8,NA,NA,NA,NA,NA,NA
2446,PALLUR,PONDICHERRY,32,32,32,6.7,6.7,6.7,255,255,255,NA,NA,NA,5.8,5.8,5.8,NA,NA,NA,NA,NA,NA
2447,PANTHAKKAL,PONDICHERRY,32,32,32,6.8,6.8,6.8,126,126,126,NA,NA,NA,1.6,1.6,1.6,NA,NA,NA,NA,NA,NA
